[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 27.189.135.87:8089: i/o timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 27.189.129.156:8089: i/o timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 27.189.132.31:8089: i/o timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 27.189.135.228:8089: i/o timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 111.72.196.142:2324: connectex: No connection could be made because the target machine actively refused it., URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
